Station,Date,Depth,Parameter,Value,Unit,VQ
27,'02/01/2012',0.5,Phosphorus as P,0.026,mg/l,M
27,'02/01/2012',0.5,Dissolved oxygen (DO),6.26,mg/l,NA
27,'02/01/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.6,mg/m3,NA
27,'02/01/2012',0.5,"Nitrogen, Kjeldahl",1.15,mg/l,NA
27,'02/01/2012',0.5,Turbidity,1.4,NTU,NA
27,'02/01/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.019,mg/l,M
27,'02/01/2012',0.5,Salinity,NaN,,U
27,'02/01/2012',0.5,"Temperature, water",21.6,deg C,NA
27,'02/01/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.501,mg/l,J
27,'02/01/2012',0.5,"Phosphorus, orthophosphate as P",0.009,mg/l,M
27,'02/01/2012',0.5,Dissolved oxygen (DO),6.56,mg/l,NA
27,'02/01/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
27,'02/01/2012',0.5,Salinity,NaN,,U
27,'02/01/2012',0.5,"Temperature, water",21.7,deg C,NA
27,'02/01/2012',0.5,"Nitrogen, Kjeldahl",1.24,mg/l,NA
27,'02/01/2012',0.5,pH,7.78,None,NA
27,'02/01/2012',0.5,Phosphorus as P,0.031,mg/l,M
27,'02/01/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.91,mg/m3,NA
27,'02/01/2012',0.5,Turbidity,1.4,NTU,NA
21,'02/01/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.303,mg/l,NA
21,'02/01/2012',0.5,Salinity,0.0369,ppth,M
21,'02/01/2012',0.5,Dissolved oxygen (DO),6.75,mg/l,NA
21,'02/01/2012',0.5,"Nitrogen, Kjeldahl",1.42,mg/l,NA
21,'02/01/2012',0.5,"Phosphorus, orthophosphate as P",0.008,mg/l,M
21,'02/01/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.225,mg/l,NA
21,'02/01/2012',0.5,"Temperature, water",22.2,deg C,NA
21,'02/01/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.57,mg/m3,NA
21,'02/01/2012',0.5,Phosphorus as P,0.014,mg/l,M
21,'02/01/2012',0.5,Turbidity,1.7,NTU,NA
21,'02/01/2012',0.5,pH,7.63,None,NA
31,'01/31/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.111,mg/l,NA
31,'01/31/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.63,mg/m3,NA
31,'01/31/2012',0.5,pH,7.53,None,NA
31,'01/31/2012',0.5,"Phosphorus, orthophosphate as P",0.008,mg/l,M
31,'01/31/2012',0.5,Dissolved oxygen (DO),3.82,mg/l,NA
31,'01/31/2012',0.5,"Nitrogen, Kjeldahl",0.918,mg/l,NA
31,'01/31/2012',0.5,"Temperature, water",22.3,deg C,NA
31,'01/31/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.029,mg/l,NA
31,'01/31/2012',0.5,Turbidity,0.8,NTU,NA
31,'01/31/2012',0.5,Salinity,NaN,,U
31,'01/31/2012',0.5,Phosphorus as P,0.009,mg/l,M
32,'01/31/2012',0.5,pH,7.58,None,NA
32,'01/31/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.032,mg/l,M
32,'01/31/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.035,mg/l,NA
32,'01/31/2012',0.5,Dissolved oxygen (DO),5.67,mg/l,NA
32,'01/31/2012',0.5,"Temperature, water",21.9,deg C,NA
32,'01/31/2012',0.5,"Phosphorus, orthophosphate as P",0.009,mg/l,M
32,'01/31/2012',0.5,Phosphorus as P,0.014,mg/l,M
32,'01/31/2012',0.5,"Nitrogen, Kjeldahl",1.18,mg/l,NA
32,'01/31/2012',0.5,Turbidity,0.55,NTU,NA
32,'01/31/2012',0.5,"Chlorophyll a, corrected for pheophytin",3.11,mg/m3,NA
32,'01/31/2012',0.5,Salinity,0.0618,ppth,M
29,'01/31/2012',0.5,Phosphorus as P,0.014,mg/l,M
29,'01/31/2012',0.5,"Temperature, water",22.3,deg C,NA
29,'01/31/2012',0.5,"Phosphorus, orthophosphate as P",0.009,mg/l,M
29,'01/31/2012',0.5,"Nitrogen, Kjeldahl",1.6,mg/l,NA
29,'01/31/2012',0.5,pH,7.33,None,NA
29,'01/31/2012',0.5,Turbidity,2.5,NTU,NA
29,'01/31/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.375,mg/l,NA
29,'01/31/2012',0.5,Dissolved oxygen (DO),2.47,mg/l,NA
29,'01/31/2012',0.5,Salinity,0.0862,ppth,M
29,'01/31/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.52,mg/m3,NA
29,'01/31/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.038,mg/l,NA
23,'01/31/2012',0.5,Salinity,0.064,ppth,M
23,'01/31/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.004,mg/l,M
23,'01/31/2012',0.5,"Temperature, water",22.4,deg C,NA
23,'01/31/2012',0.5,Phosphorus as P,0.02,mg/l,M
23,'01/31/2012',0.5,"Phosphorus, orthophosphate as P",0.011,mg/l,M
23,'01/31/2012',0.5,"Nitrogen, Kjeldahl",1.54,mg/l,NA
23,'01/31/2012',0.5,Turbidity,0.9,NTU,NA
23,'01/31/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.15,mg/m3,NA
23,'01/31/2012',0.5,pH,6.99,None,NA
23,'01/31/2012',0.5,Dissolved oxygen (DO),0.93,mg/l,NA
23,'01/31/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.371,mg/l,NA
23,'01/31/2012',0.5,"Nitrogen, Kjeldahl",1.44,mg/l,NA
23,'01/31/2012',0.5,Salinity,0.0634,ppth,M
23,'01/31/2012',0.5,"Phosphorus, orthophosphate as P",0.011,mg/l,M
23,'01/31/2012',0.5,"Temperature, water",22.4,deg C,NA
23,'01/31/2012',0.5,Dissolved oxygen (DO),1.39,mg/l,NA
23,'01/31/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.007,mg/l,M
23,'01/31/2012',0.5,Phosphorus as P,0.012,mg/l,M
23,'01/31/2012',0.5,Turbidity,0.85,NTU,NA
23,'01/31/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.4,mg/l,NA
23,'01/31/2012',0.5,pH,6.92,None,NA
23,'01/31/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.92,mg/m3,NA
37,'01/30/2012',0.5,pH,7.99,None,NA
37,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.01,mg/l,M
37,'01/30/2012',0.5,"Temperature, water",23,deg C,NA
37,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
37,'01/30/2012',0.5,Phosphorus as P,0.035,mg/l,NA
37,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.069,mg/l,NA
37,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.307,mg/l,NA
37,'01/30/2012',0.5,Turbidity,1.1,NTU,NA
37,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.66,mg/m3,NA
37,'01/30/2012',0.5,Salinity,31.7,ppth,NA
37,'01/30/2012',0.5,Dissolved oxygen (DO),8.03,mg/l,NA
8,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",NaN,,T
8,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.36,mg/m3,NA
8,'01/30/2012',0.5,Turbidity,0.6,NTU,NA
8,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
8,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.024,mg/l,NA
8,'01/30/2012',0.5,Dissolved oxygen (DO),5.27,mg/l,NA
8,'01/30/2012',0.5,Phosphorus as P,0.015,mg/l,M
8,'01/30/2012',0.5,Salinity,NaN,,U
8,'01/30/2012',0.5,pH,7.33,None,NA
8,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.02,mg/l,NA
8,'01/30/2012',0.5,"Temperature, water",21.7,deg C,NA
111,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
111,'01/30/2012',0.5,Turbidity,1,NTU,NA
111,'01/30/2012',0.5,pH,7.65,None,NA
111,'01/30/2012',0.5,"Temperature, water",23.1,deg C,NA
111,'01/30/2012',0.5,Dissolved oxygen (DO),6.17,mg/l,J
111,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.433,mg/l,NA
111,'01/30/2012',0.5,Phosphorus as P,0.049,mg/l,NA
111,'01/30/2012',0.5,Salinity,20.8,ppth,NA
111,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.113,mg/l,NA
112,'01/30/2012',0.5,Turbidity,0.9,NTU,NA
36,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.018,mg/l,M
36,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.268,mg/l,NA
36,'01/30/2012',0.5,Turbidity,0.5,NTU,NA
36,'01/30/2012',0.5,"Temperature, water",22.9,deg C,NA
36,'01/30/2012',0.5,pH,7.85,None,NA
36,'01/30/2012',0.5,Phosphorus as P,0.046,mg/l,NA
36,'01/30/2012',0.5,Dissolved oxygen (DO),8,mg/l,NA
36,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.52,mg/m3,NA
36,'01/30/2012',0.5,Salinity,29.6,ppth,NA
36,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.076,mg/l,NA
36,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
112,'01/30/2012',0.5,pH,7.63,None,NA
112,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
112,'01/30/2012',0.5,Phosphorus as P,0.053,mg/l,NA
112,'01/30/2012',0.5,Dissolved oxygen (DO),5.98,mg/l,J
112,'01/30/2012',0.5,"Temperature, water",23,deg C,NA
112,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.108,mg/l,NA
112,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.376,mg/l,NA
112,'01/30/2012',0.5,Salinity,21.2,ppth,NA
89,'01/30/2012',0.5,Salinity,NaN,,U
89,'01/30/2012',0.5,Phosphorus as P,0.013,mg/l,M
89,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",NaN,,T
89,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.14,mg/l,NA
89,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.022,mg/l,NA
89,'01/30/2012',0.5,Dissolved oxygen (DO),5.14,mg/l,NA
89,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.16,mg/m3,NA
89,'01/30/2012',0.5,"Temperature, water",22.1,deg C,NA
89,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.031,mg/l,M
89,'01/30/2012',0.5,Turbidity,0.65,NTU,NA
89,'01/30/2012',0.5,pH,7.32,None,NA
5,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.342,mg/l,NA
5,'01/30/2012',0.5,Salinity,25.6,ppth,NA
5,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.69,mg/m3,NA
5,'01/30/2012',0.5,"Temperature, water",23,deg C,NA
5,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.023,mg/l,M
5,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.022,mg/l,M
5,'01/30/2012',0.5,Turbidity,0.6,NTU,NA
5,'01/30/2012',0.5,pH,7.52,None,NA
5,'01/30/2012',0.5,Dissolved oxygen (DO),6.34,mg/l,J
5,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.077,mg/l,NA
5,'01/30/2012',0.5,Phosphorus as P,0.049,mg/l,NA
35,'01/30/2012',0.5,Turbidity,0.7,NTU,NA
35,'01/30/2012',0.5,pH,8.14,None,NA
35,'01/30/2012',0.5,Phosphorus as P,0.03,mg/l,M
35,'01/30/2012',0.5,Dissolved oxygen (DO),7.98,mg/l,NA
35,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.011,mg/l,M
35,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.026,mg/l,NA
35,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.131,mg/l,M
35,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.95,mg/m3,NA
35,'01/30/2012',0.5,Salinity,34.8,ppth,NA
35,'01/30/2012',0.5,"Temperature, water",22.6,deg C,NA
35,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
35,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.024,mg/l,NA
35,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.011,mg/l,M
35,'01/30/2012',0.5,pH,8.12,None,NA
35,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.12,mg/l,M
35,'01/30/2012',0.5,Phosphorus as P,0.03,mg/l,M
35,'01/30/2012',0.5,Turbidity,0.65,NTU,NA
35,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
35,'01/30/2012',0.5,Salinity,34.9,ppth,NA
35,'01/30/2012',0.5,Dissolved oxygen (DO),8.07,mg/l,NA
35,'01/30/2012',0.5,"Temperature, water",22.6,deg C,NA
35,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.85,mg/m3,NA
4,'01/30/2012',0.5,Dissolved oxygen (DO),7.29,mg/l,NA
6,'01/30/2012',0.5,Salinity,NaN,,U
6,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.045,mg/l,NA
6,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.05,mg/l,NA
6,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.28,mg/m3,NA
6,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.012,mg/l,M
6,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.022,mg/l,M
6,'01/30/2012',0.5,Turbidity,0.7,NTU,NA
6,'01/30/2012',0.5,Phosphorus as P,0.03,mg/l,M
6,'01/30/2012',0.5,"Temperature, water",21.8,deg C,NA
6,'01/30/2012',0.5,pH,7.84,None,NA
6,'01/30/2012',0.5,Dissolved oxygen (DO),6.83,mg/l,J
4,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
4,'01/30/2012',0.5,"Temperature, water",22.1,deg C,NA
4,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.015,mg/l,NA
4,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.31,mg/l,NA
4,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.009,mg/l,M
4,'01/30/2012',0.5,Salinity,0.0309,ppth,M
4,'01/30/2012',0.5,pH,7.91,None,NA
4,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.32,mg/m3,NA
4,'01/30/2012',0.5,Phosphorus as P,0.016,mg/l,M
4,'01/30/2012',0.5,Turbidity,0.85,NTU,NA
4,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.45,mg/l,NA
4,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.019,mg/l,M
4,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.009,mg/l,M
4,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.017,mg/l,NA
4,'01/30/2012',0.5,"Temperature, water",22,deg C,NA
4,'01/30/2012',0.5,pH,7.93,None,NA
4,'01/30/2012',0.5,Salinity,0.0309,ppth,M
4,'01/30/2012',0.5,Phosphorus as P,0.014,mg/l,M
4,'01/30/2012',0.5,Turbidity,0.55,NTU,NA
4,'01/30/2012',0.5,Dissolved oxygen (DO),7.29,mg/l,NA
4,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.06,mg/m3,NA
7,'01/30/2012',0.5,Salinity,NaN,,U
7,'01/30/2012',0.5,Dissolved oxygen (DO),6.18,mg/l,J
7,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.028,mg/l,NA
7,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",4.86,mg/m3,NA
7,'01/30/2012',0.5,"Temperature, water",21.6,deg C,NA
7,'01/30/2012',0.5,Turbidity,0.75,NTU,NA
7,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.14,mg/l,NA
7,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.007,mg/l,M
7,'01/30/2012',0.5,pH,8.14,None,NA
7,'01/30/2012',0.5,Phosphorus as P,0.02,mg/l,M
7,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
34,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.079,mg/l,M
34,'01/30/2012',0.5,Turbidity,0.85,NTU,NA
34,'01/30/2012',0.5,Dissolved oxygen (DO),7.74,mg/l,NA
34,'01/30/2012',0.5,Phosphorus as P,0.027,mg/l,M
34,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.012,mg/l,M
34,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,U
34,'01/30/2012',0.5,"Temperature, water",22.8,deg C,NA
34,'01/30/2012',0.5,pH,8.17,None,NA
34,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,,U
34,'01/30/2012',0.5,Salinity,36.2,ppth,NA
34,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",0.49,mg/m3,NA
3,'01/30/2012',0.5,Turbidity,0.95,NTU,NA
3,'01/30/2012',0.5,Salinity,0.0385,ppth,M
3,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.91,mg/m3,NA
3,'01/30/2012',0.5,"Temperature, water",22.4,deg C,NA
3,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.092,mg/l,NA
3,'01/30/2012',0.5,pH,7.49,None,NA
3,'01/30/2012',0.5,Dissolved oxygen (DO),4.85,mg/l,NA
3,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.22,mg/l,NA
3,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.023,mg/l,M
3,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.07,mg/l,NA
3,'01/30/2012',0.5,Phosphorus as P,0.028,mg/l,M
11,'01/30/2012',0.5,pH,7.47,None,NA
11,'01/30/2012',0.5,"Temperature, water",22.1,deg C,NA
11,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",5.78,mg/m3,NA
11,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
11,'01/30/2012',0.5,Salinity,5.14,ppth,NA
11,'01/30/2012',0.5,Turbidity,1.2,NTU,NA
11,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.014,mg/l,M
11,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.122,mg/l,NA
11,'01/30/2012',0.5,Phosphorus as P,0.038,mg/l,NA
11,'01/30/2012',0.5,Dissolved oxygen (DO),5.22,mg/l,J
11,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.577,mg/l,NA
11,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
11,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.015,mg/l,M
11,'01/30/2012',0.5,Dissolved oxygen (DO),5.17,mg/l,J
11,'01/30/2012',0.5,Phosphorus as P,0.031,mg/l,M
11,'01/30/2012',0.5,"Temperature, water",22,deg C,NA
11,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",4.8,mg/m3,NA
11,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.126,mg/l,NA
11,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.58,mg/l,NA
11,'01/30/2012',0.5,Turbidity,1,NTU,NA
11,'01/30/2012',0.5,Salinity,5.02,ppth,NA
11,'01/30/2012',0.5,pH,7.36,None,NA
33,'01/30/2012',0.5,"Temperature, water",22.7,deg C,NA
33,'01/30/2012',0.5,Phosphorus as P,0.056,mg/l,NA
33,'01/30/2012',0.5,Dissolved oxygen (DO),6.76,mg/l,NA
33,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.223,mg/l,NA
33,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.018,mg/l,M
33,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.016,mg/l,M
33,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.5,mg/m3,NA
33,'01/30/2012',0.5,pH,7.94,None,NA
33,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.031,mg/l,NA
33,'01/30/2012',0.5,Turbidity,1.8,NTU,NA
33,'01/30/2012',0.5,Salinity,31.2,ppth,NA
12,'01/30/2012',0.5,Salinity,NaN,,U
2,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",4.2,mg/m3,NA
2,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.09,mg/l,NA
2,'01/30/2012',0.5,Turbidity,1.3,NTU,NA
2,'01/30/2012',0.5,Phosphorus as P,0.032,mg/l,NA
2,'01/30/2012',0.5,"Temperature, water",22.1,deg C,NA
2,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.023,mg/l,M
2,'01/30/2012',0.5,pH,7.57,None,NA
2,'01/30/2012',0.5,Dissolved oxygen (DO),6.21,mg/l,NA
2,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.017,mg/l,M
2,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.074,mg/l,NA
2,'01/30/2012',0.5,Salinity,0.0445,ppth,M
12,'01/30/2012',0.5,pH,7.81,None,NA
12,'01/30/2012',0.5,Turbidity,3.5,NTU,NA
12,'01/30/2012',0.5,Dissolved oxygen (DO),7.35,mg/l,J
12,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.383,mg/l,NA
12,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.007,mg/l,M
12,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.034,mg/l,M
12,'01/30/2012',0.5,"Temperature, water",21.8,deg C,NA
12,'01/30/2012',0.5,Phosphorus as P,0.014,mg/l,M
12,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.03,mg/m3,NA
12,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.09,mg/l,NA
1,'01/30/2012',0.5,"Temperature, water",22.5,deg C,NA
1,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",2.77,mg/m3,NA
1,'01/30/2012',0.5,"Nitrogen, Kjeldahl",0.302,mg/l,NA
1,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.044,mg/l,M
1,'01/30/2012',0.5,Dissolved oxygen (DO),6.11,mg/l,NA
1,'01/30/2012',0.5,Phosphorus as P,0.077,mg/l,NA
1,'01/30/2012',0.5,Turbidity,1.7,NTU,NA
1,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.058,mg/l,NA
1,'01/30/2012',0.5,Salinity,24.8,ppth,NA
1,'01/30/2012',0.5,pH,7.65,None,NA
1,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.04,mg/l,NA
110,'01/30/2012',0.5,Phosphorus as P,0.033,mg/l,NA
110,'01/30/2012',0.5,Salinity,NaN,,U
110,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",5.53,mg/m3,NA
110,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,,T
110,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.038,mg/l,NA
110,'01/30/2012',0.5,Dissolved oxygen (DO),7.13,mg/l,NA
110,'01/30/2012',0.5,"Temperature, water",21.8,deg C,NA
110,'01/30/2012',0.5,Turbidity,2,NTU,NA
110,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.13,mg/l,NA
110,'01/30/2012',0.5,pH,7.2,None,NA
110,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.016,mg/l,M
14,'01/30/2012',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.179,mg/l,NA
14,'01/30/2012',0.5,pH,7.26,None,NA
14,'01/30/2012',0.5,Phosphorus as P,0.014,mg/l,M
14,'01/30/2012',0.5,Dissolved oxygen (DO),5.51,mg/l,J
14,'01/30/2012',0.5,Turbidity,1.1,NTU,NA
14,'01/30/2012',0.5,"Temperature, water",22.4,deg C,NA
14,'01/30/2012',0.5,Salinity,NaN,,U
14,'01/30/2012',0.5,"Nitrogen, Kjeldahl",1.35,mg/l,NA
14,'01/30/2012',0.5,"Chlorophyll a, corrected for pheophytin",1.68,mg/m3,NA
14,'01/30/2012',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.308,mg/l,NA
14,'01/30/2012',0.5,"Phosphorus, orthophosphate as P",0.008,mg/l,M
10,'10/26/2011',0.5,"Nitrogen, Kjeldahl",0.614,mg/l,NA
10,'10/26/2011',0.5,pH,7.88,None,NA
10,'10/26/2011',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.293,mg/l,NA
10,'10/26/2011',0.5,"Temperature, water",25.7,deg C,NA
10,'10/26/2011',0.5,Phosphorus as P,0.06,mg/l,NA
10,'10/26/2011',0.5,Salinity,28.5,ppth,NA
10,'10/26/2011',0.5,"Chlorophyll a, corrected for pheophytin",3.5,mg/m3,NA
10,'10/26/2011',0.5,"Phosphorus, orthophosphate as P",0.035,mg/l,NA
10,'10/26/2011',0.5,Turbidity,1.2,NTU,NA
10,'10/26/2011',0.5,Dissolved oxygen (DO),5.91,mg/l,NA
10,'10/26/2011',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.043,mg/l,M
49,'10/26/2011',0.5,"Phosphorus, orthophosphate as P",0.028,mg/l,NA
49,'10/26/2011',0.5,Phosphorus as P,0.057,mg/l,NA
49,'10/26/2011',0.5,"Nitrogen, Kjeldahl",0.66,mg/l,NA
49,'10/26/2011',0.5,pH,7.66,None,NA
49,'10/26/2011',0.5,Salinity,18.3,ppth,NA
49,'10/26/2011',0.5,Turbidity,1.5,NTU,NA
49,'10/26/2011',0.5,Dissolved oxygen (DO),4.92,mg/l,NA
49,'10/26/2011',0.5,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.065,mg/l,NA
49,'10/26/2011',0.5,"Chlorophyll a, corrected for pheophytin",1.94,mg/m3,NA
49,'10/26/2011',0.5,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.324,mg/l,NA
49,'10/26/2011',0.5,"Temperature, water",26.1,deg C,NA
