"","DEP.Result.ID","Activity.ID","year","month","day","time","Activity.Start.Date.Time","lat_deg","lat_min","Org.Decimal.Latitude","lon_deg","lon_min","Org.Decimal.Longitude","Monitoring.Location.ID","Activity.Type","Activity.Depth","Activity.Depth.Unit","Activity.Depth.Top.Bottom.Unit","Sample.Collection.Type","Activity.Top.Depth","Activity.Bottom.Depth","Value.Qualifier","Result.Comments","DEP.Analyte.Name","DEP.Result.Value.Number","DEP.Result.Unit","program","RowID","ProgramID","ProgramName","Habitat","IndicatorID","IndicatorName","ParameterID","ParameterName","ParameterUnits","ProgramLocationID","AreaID","ManagedAreaName","Region","ActivityType","SampleDate","ResultValue","Year","Month","ActivityDepth_m","RelativeDepth","TotalDepth_m","MDL","PQL","DetectionUnit","ValueQualifier","ValueQualifierSource","SampleFraction","ResultComments","OriginalLatitude","OriginalLongitude","SEACAR_QAQCFlagCode","SEACAR_QAQC_Description","Include","SEACAR_EventID","MADup","ExportVersion","data_source","CLIENT SAMPLE ID","LAB SAMPLE ID","MATRIX","COLLECTED","ANALYTE","SAMPLE RESULT","REPORTING LIMIT","UNITS","METHOD","DILUTION","ANALYZED","PREPARED","source_file","SAMPLE COLLECTION DATE","Organization.ID","Org.Latitude..DD.MM.SS.SSSS.","Org.Longitude..DD.MM.SS.SSSS.","WBID","Matrix","Sampling.Agency.Name","DEP.Result.Value.Text","DEP.MDL","DEP.PQL","Sample.Fraction","Lab.ID","Audit.Censored.Decisions"
"...108",NA,NA,NA,NA,NA,NA,"03/12/2024 12:00:00",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","23","35866182024","Water","03/12/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/18/2024","03/18/2024","Results 3-12-2024.xls","3-12-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...109",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","25","35866846001","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...110",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","24","35866846002","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...111",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","26","35866846003","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...112",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.06,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","27","35866846004","Water","03/14/2024","Nitrogen, Ammonia","0.060","0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...113",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","28","35866846005","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...114",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","32","35866846006","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...115",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","33","35866846007","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...116",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","29","35866846008","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...117",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.039,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","30","35866846009","Water","03/14/2024","Nitrogen, Ammonia","0.039","0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...118",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","31","35866846010","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...119",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","34","35866846011","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...120",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","41","35866846012","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...121",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","40","35866846013","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...122",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","39","35866846014","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...123",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","38","35866846015","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...124",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","37","35866846016","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...125",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.052,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","36","35866846017","Water","03/14/2024","Nitrogen, Ammonia","0.052","0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...126",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","35","35866846018","Water","03/14/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...127",NA,NA,NA,NA,NA,NA,"03/14/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.28,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3A","35866846019","Water","03/14/2024","Nitrogen, Ammonia","0.28","0.050","mg/L","350.1 Ammonia","1","03/22/2024","03/22/2024","Results 3-14-2024.xls","3-14-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...128",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.052,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","25","35872294001","Water","04/10/2024","Nitrogen, Ammonia","0.052","0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...129",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","1","35872294002","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...130",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.045,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","2","35872294003","Water","04/10/2024","Nitrogen, Ammonia","0.045","0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...131",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3B","35872294004","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...132",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3","35872294005","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...133",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.31,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3A","35872294006","Water","04/10/2024","Nitrogen, Ammonia","0.31","0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...134",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","4","35872294007","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...135",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","5","35872294008","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...136",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","6","35872294009","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...137",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","7","35872294010","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...138",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","8","35872294011","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...139",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","9","35872294012","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...140",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","10","35872294013","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...141",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","11","35872294014","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...142",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","12","35872294015","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...143",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","13","35872294016","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...144",NA,NA,NA,NA,NA,NA,"04/10/2024 12:00:00",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","14","35872294017","Water","04/10/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","04/13/2024","04/13/2024","Results 4-10-2024.xls","4-10-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
